sample_id,ecological_niche,mu,rho,theta,log10_theta,sigma_state,n_spots
GSM8576301_BM1,S1,2.336819250164049,0.1425621564589278,1.9479771886980641,0.28958386687495746,0.7416791201968275,713.0
GSM8576301_BM1,S2,1.580414297348582,0.03352670615554365,3.3954129590722544,0.5308926018682532,1.0636225644623647,146.0
GSM8576301_BM1,S3,0.7965204541283231,0.08882261699288085,2.421113965547723,0.38401523283024647,0.7997325039236457,1743.0
GSM8576301_BM1,S4,-0.24704064924224223,0.27639011578192557,1.285941948285479,0.10922136352728612,1.0698149396530237,72.0
GSM8576301_BM1,S5,-0.9362336316590355,0.3732275017543353,0.9855671209921768,-0.006313793217236555,0.9783967308682978,92.0
GSM8576302_EM1,S1,1.8926680263042674,-0.46643797117993085,,,0.3566178613545539,11.0
GSM8576302_EM1,S2,1.165243796843454,0.06881823046137148,2.676286591506999,0.4275326182309153,0.513157056427993,787.0
GSM8576302_EM1,S3,0.6925099092794568,0.06597094474473023,2.71854086502634,0.4343358656886775,0.4826469983081066,2481.0
GSM8576302_EM1,S4,0.042855063496644905,0.3523550013269558,1.0431160851081798,0.018332642382944457,0.8236026439417267,28.0
GSM8576302_EM1,S5,-1.0726997706676205,0.12793161608517584,2.0562594071591085,0.3130779021477618,0.7388648156008464,90.0
GSM8576303_BM2,S1,4.546143210987724,0.21823956628896257,1.5221618916413193,0.18246084488361566,1.1798644522994695,1106.0
GSM8576303_BM2,S2,0.8856950058793808,0.577209577495224,0.5495498591930155,-0.2599928990729135,1.921591897127424,49.0
GSM8576303_BM2,S3,1.237362312060853,0.5456676372351791,0.6057452115967981,-0.21771001026566414,1.225600795429033,84.0
GSM8576303_BM2,S4,-1.1339134179460133,0.34239636603486856,1.071786247986792,0.030108180341697315,1.3368496390617157,161.0
GSM8576303_BM2,S5,-1.1365223108772693,0.4839111771641286,0.7258539073629736,-0.13915078096752537,1.2854500227983277,144.0
GSM8576304_EM2,S2,-0.4681258165439295,0.09549185131541647,2.3487143616761106,0.37083020337155875,0.7053402393270626,844.0
GSM8576304_EM2,S3,-0.5193211276858851,0.1568967867244737,1.8521670992203987,0.2676801653889343,0.6820149588965175,203.0
GSM8576304_EM2,S4,-1.422016664060814,0.09897102326350803,2.312928165998886,0.3641621448351479,0.6683908582886369,928.0
GSM8576304_EM2,S5,-1.572015806526173,0.07351565177489244,2.610256946115569,0.4166832601304826,0.5429493737444899,2462.0
GSM8576305_EM1_v1,S2,0.7598822885907747,0.13620518176148433,1.9935928407519221,0.2996364653745824,0.6498540321006446,586.0
GSM8576305_EM1_v1,S3,0.13151118570385711,0.028160484828990452,3.5698355309019236,0.5526482078020741,0.705163854973882,739.0
GSM8576305_EM1_v1,S4,-0.2790129683582616,,,,0.39615392290877616,4.0
GSM8576305_EM1_v1,S5,-1.1210501299891997,0.07589657350538015,2.578383740456264,0.41134755380881277,0.6101654269403818,113.0
GSM8576306_EM2_v1,S2,-0.4353649214352512,0.02100112548077246,3.8631792483723406,0.5869448595227548,0.5512498985935121,273.0
GSM8576306_EM2_v1,S3,-0.887585771233642,0.3027046011722691,1.1949978626330253,0.07736712850799496,0.6663619329138546,92.0
GSM8576306_EM2_v1,S4,-1.564540867551773,0.03416137524821708,3.3766596518493923,0.5284872884196116,0.48590800538135465,489.0
GSM8576306_EM2_v1,S5,-1.6801534843075485,-0.020092048310505685,,,0.3586476186801507,2577.0
