sample_id,signature,n_genes_defined,n_genes_present,genes_present,genes_missing
GSM8576305_EM1_v1,Erythroid,7,5,"HBA1,HBA2,ALAS2,KLF1,AHSP","HBB,GYPA"
GSM8576305_EM1_v1,B_cell,6,6,"MS4A1,CD79A,CD79B,BANK1,CD74,IGHM",
GSM8576305_EM1_v1,T_NK,7,7,"CD3D,CD3E,TRAC,NKG7,GNLY,GZMB,IL7R",
GSM8576305_EM1_v1,MSC_stromal,8,8,"CXCL12,LEPR,PDGFRA,PDGFRB,VCAM1,KITLG,NT5E,ENG",
GSM8576305_EM1_v1,Endothelial_vascular,7,6,"PECAM1,VWF,KDR,ESAM,EMCN,CLDN5",FLT1
GSM8576305_EM1_v1,Osteolineage_endosteal,7,6,"BGLAP,SPP1,COL1A1,COL1A2,IBSP,ALPL",RUNX2
GSM8576305_EM1_v1,Adipocytic,6,6,"ADIPOQ,PLIN1,FABP4,LPL,PPARG,CEBPA",
GSM8576305_EM1_v1,ECM_matrix,7,7,"COL1A1,COL1A2,COL3A1,FN1,DCN,LUM,MMP2",
GSM8576305_EM1_v1,Inflammatory,7,6,"IL1B,TNF,CXCL8,CCL2,CCL4,NFKBIA",CCL3
GSM8576305_EM1_v1,CXCL12_CXCR4_axis,5,5,"CXCL12,CXCR4,ACKR3,KITLG,VCAM1",
GSM8576305_EM1_v1,Hypoxia_stress,6,5,"HIF1A,VEGFA,SLC2A1,BNIP3,DDIT4",LDHA
GSM8576305_EM1_v1,AML_blast_like,8,8,"MPO,AZU1,PRTN3,ELANE,KIT,CD34,PROM1,HOXA9",
GSM8576305_EM1_v1,Primitive_like_AML,6,6,"CD34,PROM1,KIT,MEIS1,HOXA9,GATA2",
GSM8576305_EM1_v1,Committed_like_AML,6,6,"MPO,AZU1,ELANE,PRTN3,FCGR3B,LTF",
GSM8576305_EM1_v1,Immune_suppression,6,5,"LILRB4,CD274,HAVCR2,TIGIT,CTLA4",LGALS9
GSM8576306_EM2_v1,HSPC_primitive,8,8,"CD34,PROM1,AVP,MEIS1,HOXA9,KIT,GATA2,MLLT3",
GSM8576306_EM2_v1,Myeloid_granulocytic,8,8,"MPO,ELANE,AZU1,PRTN3,CTSG,LTF,S100A8,S100A9",
GSM8576306_EM2_v1,Monocyte_macrophage,8,8,"LYZ,LST1,S100A8,S100A9,FCN1,CTSS,TYROBP,MS4A7",
GSM8576306_EM2_v1,Erythroid,7,5,"HBA1,HBA2,ALAS2,KLF1,AHSP","HBB,GYPA"
GSM8576306_EM2_v1,B_cell,6,6,"MS4A1,CD79A,CD79B,BANK1,CD74,IGHM",
GSM8576306_EM2_v1,T_NK,7,7,"CD3D,CD3E,TRAC,NKG7,GNLY,GZMB,IL7R",
GSM8576306_EM2_v1,MSC_stromal,8,8,"CXCL12,LEPR,PDGFRA,PDGFRB,VCAM1,KITLG,NT5E,ENG",
GSM8576306_EM2_v1,Endothelial_vascular,7,6,"PECAM1,VWF,KDR,ESAM,EMCN,CLDN5",FLT1
GSM8576306_EM2_v1,Osteolineage_endosteal,7,6,"BGLAP,SPP1,COL1A1,COL1A2,IBSP,ALPL",RUNX2
GSM8576306_EM2_v1,Adipocytic,6,6,"ADIPOQ,PLIN1,FABP4,LPL,PPARG,CEBPA",
GSM8576306_EM2_v1,ECM_matrix,7,7,"COL1A1,COL1A2,COL3A1,FN1,DCN,LUM,MMP2",
GSM8576306_EM2_v1,Inflammatory,7,6,"IL1B,TNF,CXCL8,CCL2,CCL4,NFKBIA",CCL3
GSM8576306_EM2_v1,CXCL12_CXCR4_axis,5,5,"CXCL12,CXCR4,ACKR3,KITLG,VCAM1",
GSM8576306_EM2_v1,Hypoxia_stress,6,5,"HIF1A,VEGFA,SLC2A1,BNIP3,DDIT4",LDHA
GSM8576306_EM2_v1,AML_blast_like,8,8,"MPO,AZU1,PRTN3,ELANE,KIT,CD34,PROM1,HOXA9",
GSM8576306_EM2_v1,Primitive_like_AML,6,6,"CD34,PROM1,KIT,MEIS1,HOXA9,GATA2",
GSM8576306_EM2_v1,Committed_like_AML,6,6,"MPO,AZU1,ELANE,PRTN3,FCGR3B,LTF",
GSM8576306_EM2_v1,Immune_suppression,6,5,"LILRB4,CD274,HAVCR2,TIGIT,CTLA4",LGALS9
