context,proposed_label,top_positive_features,top_negative_features,BM_fraction,EM_fraction,BM_to_EM_ratio,site_bias
S1,blast–committed myeloid / hypoxia-stress context,Committed_like_AML_score=1.75; Hypoxia_stress_score=1.68; AML_blast_like_score=1.61; Myeloid_granulocytic_score=1.58; B_cell_score=1.21; Monocyte_macrophage_score=1.21,Endothelial_vascular_score=-0.55; T_NK_score=-0.80; Osteolineage_endosteal_score=-1.29; ECM_matrix_score=-1.36,0.4220417633410673,0.0008656645943180924,486.97358367701435,BM-enriched
S2,primitive AML / HSPC-like context,HSPC_primitive_score=1.77; Primitive_like_AML_score=1.76; ECM_matrix_score=0.21; Osteolineage_endosteal_score=0.21; AML_blast_like_score=0.14; T_NK_score=0.07,MSC_stromal_score=-0.64; Inflammatory_score=-0.67; Hypoxia_stress_score=-0.70; CXCL12_CXCR4_axis_score=-0.75,0.04524361948955916,0.19595498544109546,0.23089174534635348,EM-enriched
S3,immune-suppressed monocyte–macrophage / B-cell context,Immune_suppression_score=1.73; Monocyte_macrophage_score=0.81; B_cell_score=0.80; Myeloid_granulocytic_score=0.30; T_NK_score=0.11; AML_blast_like_score=-0.09,Adipocytic_score=-0.56; MSC_stromal_score=-0.60; ECM_matrix_score=-0.67; Osteolineage_endosteal_score=-0.76,0.4238979118329466,0.2766191862752813,1.532422190660733,BM-enriched
S4,inflammatory stromal–vascular / ECM niche context,Endothelial_vascular_score=1.78; Adipocytic_score=1.78; Inflammatory_score=1.72; MSC_stromal_score=1.62; ECM_matrix_score=0.89; Osteolineage_endosteal_score=0.88,Myeloid_granulocytic_score=-0.76; Monocyte_macrophage_score=-0.77; AML_blast_like_score=-0.81; T_NK_score=-0.94,0.05406032482598608,0.11403163610608326,0.4740864253606612,EM-enriched
S5,T/NK immune-active context,T_NK_score=1.57; Osteolineage_endosteal_score=0.97; ECM_matrix_score=0.92; Endothelial_vascular_score=-0.36; Adipocytic_score=-0.45; Committed_like_AML_score=-0.58,Myeloid_granulocytic_score=-0.89; Monocyte_macrophage_score=-1.13; CXCL12_CXCR4_axis_score=-1.14; B_cell_score=-1.26,0.054756380510440836,0.41252852758322184,0.13273566338689377,EM-enriched
