dataset,cell_state,branching_unit,n_cells,dataset_n_cells,abundance,latent_mean,latent_displacement,escaped_fraction,opportunity_mean,escape_mean,branching_amplification_score
GSE235923,state_MonoDC,GSE235923|state_MonoDC,12508,74486,0.16792417367021992,10.141813144120741,13.240976896538008,0.9566677326511033,1.0,0.9566677326511033,17.02540463507068
GSE235923,other_state,GSE235923|other_state,2032,74486,0.027280294283489513,7.964317654831287,11.063481407248554,0.7278543307086615,1.0,0.7278543307086615,1.802125981021485
GSE235923,state_GMP,GSE235923|state_GMP,11574,74486,0.15538490454582068,0.08475823468445776,3.1839219871017246,0.29082426127527217,1.0,0.29082426127527217,1.6486771330042467
GSE235923,state_Prog,GSE235923|state_Prog,14724,74486,0.19767473082189943,-2.3386633730700592,0.7605003793472074,0.044417277913610435,1.0,0.044417277913610435,0.32796632500139644
GSE235923,not_malignant,GSE235923|not_malignant,14606,74486,0.19609054050425584,-3.5551298461960936,0.455966093778827,0.07325756538408873,1.0,0.07325756538408873,0.2059814248140246
GSE235923,state_HSC,GSE235923|state_HSC,15450,74486,0.20742152887790993,-2.8991567381195473,0.20000701429771928,0.002783171521035599,1.0,0.002783171521035599,0.08343442919108475
GSE235923,aux_EryBaso,GSE235923|aux_EryBaso,3291,74486,0.04418279945224606,-3.6372910955449997,0.5381273431277331,0.01276207839562443,1.0,0.01276207839562443,0.04877350371270787
GSE235923,aux_CLP,GSE235923|aux_CLP,301,74486,0.004041027844158634,-2.9743569817544397,0.12480677066282686,0.006644518272425249,1.0,0.006644518272425249,0.00102215258242321
