site,S1,S2,S3,S4,S5
BM,0.4220417633410673,0.04524361948955916,0.4238979118329466,0.05406032482598608,0.054756380510440836
EM,0.0008656645943180924,0.19595498544109546,0.2766191862752813,0.11403163610608326,0.41252852758322184
