PC,explained_variance_ratio
EcoPC1,0.26695642127351754
EcoPC2,0.12230522271479272
EcoPC3,0.10025386409588838
EcoPC4,0.06960633643867316
EcoPC5,0.06359111663077545
EcoPC6,0.05808605012209647
EcoPC7,0.056427818983911575
EcoPC8,0.05525129514270827
