variable,primary_min,primary_max,secondary_min,secondary_max,secondary_within_primary_range_frac
PC1,-3.429271586278837,3.1523006528162485,-2.9979942617460793,2.18509885146686,1.0
PC2,-2.708980651393179,2.5191741522952324,-5.520853878594872,3.241339870264964,0.6842105263157895
ilr_stem_vs_committed,-6.050240417893982,2.7606585378773216,-2.6645360889463685,2.228573976000549,1.0
log_aux_erybaso,-9.210340371976182,-1.2419000449702242,-9.210340371976182,-1.206586223691696,0.9473684210526315
