gsm,sample_base,timepoint,sample_id,barcodes_file,features_file,matrix_file
GSM7511998,Sample1,DX,Sample1_DX,GSM7511998_Sample1D_barcodes.tsv.gz,GSM7511998_Sample1D_features.tsv.gz,GSM7511998_Sample1D_matrix.mtx.gz
GSM7512012,Sample10,DX,Sample10_DX,GSM7512012_Sample10D_barcodes.tsv.gz,GSM7512012_Sample10D_features.tsv.gz,GSM7512012_Sample10D_matrix.mtx.gz
GSM7512013,Sample11,DX,Sample11_DX,GSM7512013_Sample11D_barcodes.tsv.gz,GSM7512013_Sample11D_features.tsv.gz,GSM7512013_Sample11D_matrix.mtx.gz
GSM7512014,Sample12,DX,Sample12_DX,GSM7512014_Sample12D_barcodes.tsv.gz,GSM7512014_Sample12D_features.tsv.gz,GSM7512014_Sample12D_matrix.mtx.gz
GSM7512015,Sample13,DX,Sample13_DX,GSM7512015_Sample13D_barcodes.tsv.gz,GSM7512015_Sample13D_features.tsv.gz,GSM7512015_Sample13D_matrix.mtx.gz
GSM7512016,Sample14,DX,Sample14_DX,GSM7512016_Sample14D_barcodes.tsv.gz,GSM7512016_Sample14D_features.tsv.gz,GSM7512016_Sample14D_matrix.mtx.gz
GSM7512019,Sample16,DX,Sample16_DX,GSM7512019_Sample16D_barcodes.tsv.gz,GSM7512019_Sample16D_features.tsv.gz,GSM7512019_Sample16D_matrix.mtx.gz
GSM7512021,Sample17,DX,Sample17_DX,GSM7512021_Sample17D_barcodes.tsv.gz,GSM7512021_Sample17D_features.tsv.gz,GSM7512021_Sample17D_matrix.mtx.gz
GSM7512023,Sample18,DX,Sample18_DX,GSM7512023_Sample18Dx_barcodes.tsv.gz,GSM7512023_Sample18Dx_features.tsv.gz,GSM7512023_Sample18Dx_matrix.mtx.gz
GSM7512025,Sample19,DX,Sample19_DX,GSM7512025_Sample19D_barcodes.tsv.gz,GSM7512025_Sample19D_features.tsv.gz,GSM7512025_Sample19D_matrix.mtx.gz
GSM7511999,Sample2,DX,Sample2_DX,GSM7511999_Sample2D_barcodes.tsv.gz,GSM7511999_Sample2D_features.tsv.gz,GSM7511999_Sample2D_matrix.mtx.gz
GSM7512027,Sample20,DX,Sample20_DX,GSM7512027_Sample20D_barcodes.tsv.gz,GSM7512027_Sample20D_features.tsv.gz,GSM7512027_Sample20D_matrix.mtx.gz
GSM7512000,Sample3,DX,Sample3_DX,GSM7512000_Sample3D_barcodes.tsv.gz,GSM7512000_Sample3D_features.tsv.gz,GSM7512000_Sample3D_matrix.mtx.gz
GSM7512002,Sample4,DX,Sample4_DX,GSM7512002_Sample4D_barcodes.tsv.gz,GSM7512002_Sample4D_features.tsv.gz,GSM7512002_Sample4D_matrix.mtx.gz
GSM7512003,Sample5,DX,Sample5_DX,GSM7512003_Sample5D_barcodes.tsv.gz,GSM7512003_Sample5D_features.tsv.gz,GSM7512003_Sample5D_matrix.mtx.gz
GSM7512006,Sample6,DX,Sample6_DX,GSM7512006_Sample6D_barcodes.tsv.gz,GSM7512006_Sample6D_features.tsv.gz,GSM7512006_Sample6D_matrix.mtx.gz
GSM7512009,Sample7,DX,Sample7_DX,GSM7512009_Sample7D_barcodes.tsv.gz,GSM7512009_Sample7D_features.tsv.gz,GSM7512009_Sample7D_matrix.mtx.gz
GSM7512010,Sample8,DX,Sample8_DX,GSM7512010_Sample8D_barcodes.tsv.gz,GSM7512010_Sample8D_features.tsv.gz,GSM7512010_Sample8D_matrix.mtx.gz
GSM7512011,Sample9,DX,Sample9_DX,GSM7512011_Sample9D_barcodes.tsv.gz,GSM7512011_Sample9D_features.tsv.gz,GSM7512011_Sample9D_matrix.mtx.gz
