,PC1_loading,PC2_loading
B_Plasma,0.5061229514880392,-0.4098473818505925
Erythroid_Baso,0.1544971558869384,0.8264058094505286
HSPC_Prog,-0.41908975452183317,0.17127911060000006
Myeloid_APC,-0.4781324224009432,-0.3452007239790315
T_NK,0.5618926508717825,-0.02405178024716323
