sample_id,state_HSC,state_Prog,state_GMP,state_MonoDC,aux_EryBaso,aux_CLP,ilr_stem_vs_committed,log_aux_erybaso,log_aux_clp
Sample10_DX,0.6176911544227885,0.23688155922038978,0.1424287856071964,0.0029985007496251873,0.0029895366218236174,0.0,2.228573976000549,-5.779734159892575,-9.210340371976182
Sample11_DX,0.501728774490972,0.2800614675374568,0.17864003073376872,0.039569727237802534,0.03943973461113159,0.0011057869517139699,1.198836094474037,-3.230449173170851,-6.720622853236411
Sample12_DX,0.523628462791961,0.13036393264530147,0.1450298750678979,0.20097772949483977,0.08499005964214712,0.0,1.0480358435781243,-2.464045058190759,-9.210340371976182
Sample13_DX,0.2896341463414634,0.033536585365853654,0.17164634146341462,0.5051829268292682,0.0898534697262925,0.0033176665745092617,0.6120316477919782,-2.4084627453852203,-5.6787972489272995
Sample14_DX,0.1066143159166415,0.559347629115071,0.31259438236182424,0.021443672606463304,0.005669949268874963,0.006266786034019696,-0.32672032955504665,-5.1550919907234904,-5.056660483974514
Sample16_DX,0.12460063897763579,0.10223642172523963,0.07507987220447285,0.6980830670926518,0.2722351121423047,0.0015467904098994587,-0.29412606829472426,-1.3007219410772866,-6.408927091561641
Sample17_DX,0.14772727272727273,0.12150349650349651,0.04283216783216783,0.6879370629370629,0.11538461538461539,0.004615384615384616,-0.030627352152010727,-2.1586179580254146,-5.356924793501508
Sample18_DX,0.10564304461942259,0.16535433070866146,0.708005249343832,0.020997375328083993,0.06995133819951338,0.0030413625304136255,-0.2128691765931647,-2.6585269028910354,-5.763098646297698
Sample19_DX,0.5434662236987818,0.20431893687707642,0.10077519379844961,0.15143964562569215,0.009365801445009366,0.024083489430024082,1.1372506494647958,-4.660069823313956,-3.7220851336190037
Sample1_DX,0.01307996051332675,0.17645607107601183,0.5841559723593287,0.22630799605133267,0.001477832512315271,0.0004926108374384236,-2.6645360889463685,-6.451703201408812,-7.430972635043291
Sample20_DX,0.3243379571248423,0.3150063051702396,0.2880201765447667,0.07263556116015131,0.05551684088269454,0.02346109175377468,0.47434082614327866,-2.889269230014955,-3.748158581978042
Sample2_DX,0.42189500640204863,0.11715749039692702,0.10371318822023047,0.3572343149807939,0.18149284253578732,0.019938650306748466,0.8225345710860357,-1.7059882269408595,-3.910092354996235
Sample3_DX,0.09659931000492854,0.13011335633316906,0.6338097585017249,0.13947757516017742,0.03380952380952381,0.0,-0.7346443430378742,-3.384059365717481,-9.210340371976182
Sample4_DX,0.06039190491487312,0.7343398650819145,0.19595245743655637,0.009315772566655958,0.00796431984708506,0.00031857279388340236,-0.5231797856348793,-4.820305904862687,-7.7786597431763145
Sample5_DX,0.3348502085703451,0.37542662116040953,0.25862722791050435,0.031095942358740993,0.009391435011269721,0.0,0.7267552220823139,-4.657365464802399,-9.210340371976182
Sample6_DX,0.48002861571479666,0.3919160605699296,0.07297007273160844,0.05508525098366519,0.010018859028760018,0.0014144271570014145,1.2265069296640465,-4.593354365672596,-6.492718025714486
Sample7_DX,0.0043426766679826295,0.007500986971969996,0.07816818002368732,0.90998815633636,0.0,0.0003946329913180742,-2.5196112973479208,-9.210340371976182,-7.6116945020726465
Sample8_DX,0.2565720294426919,0.4900105152471083,0.11303890641430073,0.14037854889589904,0.29911699779249445,0.0011037527593818985,0.22375074824189495,-1.206586223691696,-6.722311302533155
Sample9_DX,0.20738236122851508,0.0650887573964497,0.04142011834319527,0.6861087630318399,0.011692650334075724,0.00027839643652561246,0.453361983260077,-4.440278794608488,-7.879568138046505
