sample_id,PC1,PC2
AML1_DX,-3.8911116219949555,0.6963381463555534
AML2_DX,-1.5313946652583355,0.8751693074333989
AML3_DX,-1.090426991035332,-0.23594614981948642
AML4_DX,3.921945046448688,-0.5364446273434575
AML5_DX,0.3117009489177954,-1.019102183431332
AML6_DX,-0.53006324354399,-1.6484220406393217
AML7_DX,-1.565127841334076,-0.6589587036160895
AML8_DX,0.5206813016232895,3.0869178549696756
AML9_DX,-0.6900098314579837,-0.5676044613203108
AML10_DX,-0.9983825876931648,-2.671346653464591
AML11_DX,-0.48427029767168805,0.9576793170225156
AML12_DX,1.6108301913705476,0.1375757540859432
AML13_DX,1.2000571391329193,0.9449869733622954
AML14_DX,-1.6777102555932244,0.4306629450502002
AML15_DX,-0.13560602568562735,-0.03693567001078876
AML16_DX,1.6355794204778273,0.3323115768608016
AML17_DX,2.022694984208161,0.32626464306885
AML18_DX,2.0720273232088706,1.1055214491961196
AML19_DX,3.783590255303898,-1.1696545452024136
AML20_DX,0.21864165862771376,-0.8514638315235907
AML21_DX,-0.37655948524597893,0.8612933697113294
AML22_DX,-0.4196701976672029,0.7923043748001654
AML23_DX,-1.3967727082685355,-1.30144015747928
AML24_DX,-0.7719644419295841,0.9133733917732324
AML25_DX,0.16962591694378282,-0.3003357319660305
AML26_DX,-1.1739464565879476,0.36090585752184323
AML27_DX,-0.7343575352958644,-0.8236502053952318
