sample_id,PC1,PC2
Sample10_DX,0.6326263435552298,-2.954828811064108
Sample11_DX,0.49523454244190795,0.023018440441402766
Sample12_DX,1.8948908960242414,-0.9449933499267995
Sample13_DX,2.18509885146686,0.8581669612338692
Sample14_DX,-1.945486006795052,-0.5652138446799911
Sample16_DX,-2.9979942617460793,2.8470941922268174
Sample17_DX,-1.438574635929548,-0.4420962694243221
Sample18_DX,0.42432421007443455,0.6669281846698075
Sample19_DX,-2.712128041031022,-1.0983029337101737
Sample1_DX,-1.9169750566764001,0.7642790489139805
Sample20_DX,-0.7831344131199192,1.3941753830912942
Sample2_DX,-2.21111520305914,-0.3509183241703244
Sample3_DX,1.008356092907182,2.550873608315339
Sample4_DX,0.2272054752437375,0.8974412154295084
Sample5_DX,0.3432213278223348,3.241339870264964
Sample6_DX,-2.41006189742885,-0.39337191238597585
Sample7_DX,-2.30009803429112,-5.520853878594872
Sample8_DX,-1.2023825499251122,2.519521265149282
Sample9_DX,-0.7212240374091927,-1.253253469968173
