,S1,S2,S3,S4,S5
S1,0.0,6.22819626058498,4.447075129619227,7.1410818554229785,7.675930784729544
S2,6.22819626058498,0.0,4.469228890418741,6.088907461844358,4.321667264215846
S3,4.447075129619227,4.469228890418741,0.0,6.183529742346458,5.015418174257761
S4,7.1410818554229785,6.088907461844358,6.183529742346458,0.0,5.69228093295972
S5,7.675930784729544,4.321667264215846,5.015418174257761,5.69228093295972,0.0
