source_context,target_context,ecological_distance,ecological_similarity,transition_proxy,relationship_type
S1,S1,0.0,0.0,0.0,within_context
S1,S2,6.22819626058498,0.5718066371792915,0.2200074141241973,between_context
S1,S3,4.447075129619227,0.7520360331710096,0.3170225733397367,between_context
S1,S4,7.1410818554229785,0.4795927124429799,0.4235628154198594,between_context
S1,S5,7.675930784729544,0.4278373721048486,0.0394071971162064,between_context
S2,S1,6.22819626058498,0.5718066371792915,0.4366369923131097,between_context
S2,S2,0.0,0.0,0.0,within_context
S2,S3,4.469228890418741,0.7498985394398017,0.1969730005086273,between_context
S2,S4,6.088907461844358,0.586118793269417,0.3225399793827868,between_context
S2,S5,4.321667264215846,0.7640475524911972,0.0438500277954762,between_context
S3,S1,4.447075129619227,0.7520360331710096,0.5168070184959319,between_context
S3,S2,4.469228890418741,0.7498985394398017,0.1617937370976823,between_context
S3,S3,0.0,0.0,0.0,within_context
S3,S4,6.183529742346458,0.5763928172727769,0.2854531800587641,between_context
S3,S5,5.015418174257761,0.6959586627723617,0.0359460643476215,between_context
S4,S1,7.1410818554229785,0.4795927124429799,0.5276070617357629,between_context
S4,S2,6.088907461844358,0.586118793269417,0.2024385029141317,between_context
S4,S3,6.183529742346458,0.5763928172727769,0.2181169633922941,between_context
S4,S4,0.0,0.0,0.0,within_context
S4,S5,5.69228093295972,0.626942396336066,0.0518374719578111,between_context
S5,S1,7.675930784729544,0.4278373721048486,0.3148365441002786,between_context
S5,S2,4.321667264215846,0.7640475524911972,0.1765209487871507,between_context
S5,S3,5.015418174257761,0.6959586627723617,0.1761662548504017,between_context
S5,S4,5.69228093295972,0.626942396336066,0.3324762522621689,between_context
S5,S5,0.0,0.0,0.0,within_context
