,S1,S2,S3,S4,S5
S1,0.0,6.22819626058498,4.447075129619228,7.141081855422978,7.675930784729545
S2,6.22819626058498,0.0,4.46922889041874,6.088907461844358,4.321667264215846
S3,4.447075129619228,4.46922889041874,0.0,6.183529742346458,5.015418174257761
S4,7.141081855422978,6.088907461844358,6.183529742346458,0.0,5.69228093295972
S5,7.675930784729545,4.321667264215846,5.015418174257761,5.69228093295972,0.0
