ecological_context,n_edges,cross_frequency,rare_frequency,mean_jump_distance,mean_rare_distance,levy_like_escape_score,rare_escape_score
S1,11858,0.25484904705683925,0.040394670264800134,4.810348802898489,6.738960391936399,1.2259128084296875,0.27221808295981914
S2,16560,0.7092995169082126,0.07566425120772947,4.58563756290551,6.118810643696894,3.2525905080850315,0.46297522563721066
S3,33357,0.3183439757771982,0.017777378061576282,4.648689954719081,6.183529742346458,1.4798824423407957,0.10992694598469437
S4,10417,0.5307670154555054,0.5307670154555054,5.844642653122903,5.844642653122903,3.10214353740199,3.10214353740199
S5,33642,0.30949408477498364,0.11711551037393735,4.974518014836152,5.742123911468656,1.5395839001983833,0.6724917725220411
